customer_id,region,plan_type,contract_type,internet_service,tenure_months,monthly_charges,total_charges,auto_pay,support_tickets,partner,dependents,satisfaction_score,last_interaction_days,is_churn
20031,South,Premium,Monthly,DSL,21,312.77,6435.89,Yes,1,No,No,2,0,0
20032,East,Standard,Quarterly,None,40,203.9,7747.87,Yes,1,No,Yes,4,16,0
20033,East,Premium,Monthly,None,3,243.25,783.15,Yes,1,No,Yes,3,83,0
20034,North,Standard,Quarterly,Fiber,21,309.41,7067.16,Yes,2,No,No,4,64,0
20035,West,Standard,Monthly,Fiber,48,285.01,14726.17,Yes,2,No,Yes,5,49,0
20036,West,Standard,Monthly,Fiber,57,309.39,17388.35,Yes,2,Yes,Yes,2,72,0
20037,North,Premium,Annual,DSL,49,263.39,13307.59,Yes,2,No,No,4,26,0
20038,East,Standard,Monthly,DSL,8,250.16,2023.12,No,2,No,Yes,2,37,1
20039,West,Premium,Annual,DSL,42,304.4,13762.29,No,1,No,No,3,68,0
20040,North,Basic,Annual,DSL,36,240.21,7885.29,No,1,No,No,3,63,0
20041,East,Basic,Monthly,DSL,29,248.08,7338.28,Yes,0,Yes,No,3,46,0
20042,South,Standard,Monthly,None,53,237.37,12196.01,Yes,1,No,Yes,3,40,0
20043,West,Standard,Quarterly,DSL,39,259.66,9350.63,No,2,No,No,3,58,0
20044,East,Standard,Monthly,DSL,34,235.05,8478.08,No,0,Yes,No,3,12,0
20045,East,Standard,Monthly,DSL,22,238.42,5714.69,No,0,Yes,Yes,4,42,1
20046,North,Premium,Monthly,DSL,55,287.32,17261.55,No,0,Yes,No,3,66,0
20047,North,Premium,Quarterly,DSL,31,310.58,9206.63,No,3,No,No,4,62,1
20048,South,Basic,Monthly,Fiber,28,244.77,6801.7,No,1,Yes,Yes,3,85,1
20049,North,Basic,Monthly,Fiber,35,259.45,9659.9,No,1,No,Yes,3,76,0
20050,East,Basic,Quarterly,DSL,34,260.1,9664.43,Yes,1,Yes,No,5,63,0
20051,West,Basic,Monthly,DSL,13,220.96,2612.12,Yes,1,Yes,No,4,66,0
20052,South,Premium,Monthly,None,41,230.58,9822.77,No,2,No,No,3,16,0
20053,West,Premium,Annual,Fiber,4,335.95,1381.55,Yes,2,No,Yes,2,17,0
20054,West,Basic,Annual,DSL,43,205.21,9314.41,Yes,2,Yes,No,3,36,0
20055,West,Standard,Monthly,None,6,182.22,1200.47,No,1,No,Yes,4,73,0
20056,South,Premium,Annual,Fiber,1,322.02,350.97,Yes,0,Yes,No,3,43,0
20057,West,Basic,Monthly,Fiber,12,292.54,3220.07,Yes,1,No,No,3,60,1
20058,South,Standard,Annual,Fiber,35,329.07,10857.94,No,1,Yes,No,4,13,0
20059,East,Standard,Monthly,DSL,59,222.7,12279.41,Yes,1,No,No,5,81,0
20060,North,Premium,Monthly,Fiber,11,328.33,3265.46,Yes,1,No,No,2,52,0
20061,North,Standard,Monthly,Fiber,23,261.94,6003.38,No,0,No,No,4,51,1
20062,North,Standard,Monthly,DSL,14,272.78,4168.96,Yes,1,Yes,No,4,78,0
20063,North,Standard,Monthly,DSL,19,280.79,5535.02,Yes,1,Yes,No,3,63,0
20064,South,Basic,Monthly,None,37,188.63,7092.3,Yes,0,No,No,2,62,0
20065,East,Standard,Quarterly,DSL,16,274.46,4337.5,Yes,2,Yes,No,2,20,0
20066,West,Basic,Quarterly,Fiber,44,281.03,12242.37,No,1,Yes,Yes,2,50,1
20067,South,Standard,Quarterly,DSL,28,247.61,6617.87,Yes,1,Yes,No,4,46,0
20068,South,Basic,Monthly,Fiber,45,258.95,10903.14,No,3,Yes,Yes,3,37,0
20069,West,Basic,Annual,DSL,31,230.77,6855.61,Yes,1,No,Yes,4,26,0
20070,East,Standard,Monthly,DSL,53,240.89,11869.68,No,3,No,Yes,4,37,0
20071,West,Standard,Annual,Fiber,7,309.67,2112.77,Yes,0,Yes,No,2,2,0
20072,North,Basic,Annual,DSL,46,231.31,11628.95,Yes,3,No,No,4,2,0
20073,North,Premium,Monthly,Fiber,52,323.46,15236.13,Yes,0,No,Yes,5,78,0
20074,North,Standard,Monthly,Fiber,27,283.52,7543.01,Yes,0,Yes,No,2,18,0
20075,West,Standard,Quarterly,DSL,17,246.33,3977.0,Yes,1,No,No,2,51,0
20076,East,Standard,Quarterly,DSL,7,242.78,1838.16,Yes,3,Yes,No,3,75,0
20077,East,Basic,Annual,DSL,15,207.77,3423.6,No,3,Yes,No,3,11,0
20078,West,Standard,Quarterly,DSL,53,239.62,13782.02,Yes,0,No,No,4,6,0
20079,West,Basic,Quarterly,Fiber,40,287.1,11902.48,Yes,2,No,No,3,8,0
20080,East,Basic,Annual,DSL,12,219.93,2574.09,No,2,Yes,No,3,14,0
20081,West,Standard,Annual,DSL,55,234.15,14159.34,Yes,3,No,No,5,78,0
20082,West,Standard,Quarterly,DSL,8,248.15,2160.96,No,3,Yes,Yes,4,3,0
20083,South,Basic,Monthly,Fiber,2,301.94,582.72,No,1,Yes,Yes,4,18,0
20084,North,Standard,Quarterly,None,44,226.66,10254.7,Yes,0,Yes,No,2,30,0
20085,North,Standard,Annual,Fiber,59,280.54,15605.86,No,1,Yes,No,3,6,0
20086,West,Standard,Monthly,Fiber,38,310.37,11998.13,Yes,0,No,Yes,2,69,0
20087,South,Standard,Monthly,DSL,56,231.92,11688.99,No,0,Yes,No,3,25,0
20088,North,Basic,Quarterly,DSL,26,237.41,6629.73,No,3,No,Yes,5,74,0
20089,North,Premium,Monthly,Fiber,51,320.92,15971.76,No,0,Yes,No,4,40,0
20090,East,Basic,Quarterly,Fiber,21,286.34,5542.12,Yes,2,Yes,No,3,38,0
20091,South,Standard,Monthly,Fiber,57,289.39,16847.29,Yes,0,Yes,No,4,16,0
20092,West,Standard,Monthly,DSL,50,261.19,13239.02,Yes,4,Yes,Yes,4,70,0
20093,North,Basic,Monthly,Fiber,13,297.18,3693.17,Yes,4,No,No,5,59,0
20094,North,Standard,Quarterly,DSL,19,268.88,4872.71,Yes,1,No,Yes,3,50,0
20095,East,Premium,Monthly,Fiber,18,345.34,6731.8,Yes,3,No,No,4,63,0
20096,North,Basic,Quarterly,Fiber,2,275.6,577.54,Yes,3,Yes,Yes,3,29,0
20097,West,Basic,Monthly,DSL,52,196.44,9529.12,Yes,0,No,Yes,4,75,0
20098,North,Basic,Monthly,Fiber,45,303.26,12711.45,No,2,No,No,3,22,0
20099,South,Basic,Monthly,None,54,219.3,12498.83,No,1,Yes,No,3,88,1
20100,West,Basic,Quarterly,Fiber,42,260.54,10361.17,No,2,Yes,No,2,70,1
20101,North,Premium,Monthly,Fiber,49,304.44,15950.96,Yes,1,Yes,No,3,3,0
20102,North,Standard,Quarterly,Fiber,57,271.58,15719.24,Yes,1,No,Yes,3,72,0
20103,South,Standard,Monthly,Fiber,28,342.07,10531.36,No,1,No,Yes,3,27,0
20104,North,Standard,Monthly,Fiber,50,285.27,13856.26,Yes,2,No,Yes,3,30,0
20105,North,Basic,Monthly,DSL,23,272.14,6208.42,No,1,Yes,Yes,4,51,0
20106,South,Basic,Monthly,Fiber,4,279.49,1069.34,Yes,0,Yes,No,4,48,0
20107,South,Premium,Monthly,Fiber,4,304.0,1121.9,No,0,No,Yes,3,71,0
20108,North,Basic,Monthly,DSL,12,223.72,2731.86,No,2,No,No,2,16,0
20109,North,Basic,Monthly,DSL,22,197.05,4088.13,No,3,No,Yes,3,5,0
20110,North,Basic,Monthly,Fiber,26,272.06,6888.5,Yes,1,Yes,No,3,8,0
20111,North,Standard,Monthly,Fiber,40,271.11,11606.84,Yes,1,Yes,Yes,5,35,0
20112,North,Premium,Monthly,DSL,42,270.91,10398.81,Yes,4,No,No,2,32,0
20113,West,Basic,Monthly,DSL,35,230.21,8140.37,No,0,No,No,3,49,0
20114,South,Standard,Quarterly,Fiber,4,280.07,1137.81,Yes,1,No,No,2,59,0
20115,South,Standard,Annual,DSL,12,237.55,2803.45,No,1,No,No,4,72,0
20116,South,Basic,Monthly,Fiber,4,288.49,1074.21,No,2,No,No,3,53,0
20117,East,Standard,Monthly,Fiber,52,298.14,14321.87,Yes,1,Yes,Yes,5,47,0
20118,West,Premium,Quarterly,Fiber,57,321.57,18449.84,No,1,Yes,No,3,25,0
20119,West,Basic,Monthly,Fiber,31,271.32,8881.48,Yes,0,No,No,3,44,0
20120,West,Standard,Annual,DSL,7,259.19,1804.05,Yes,1,Yes,Yes,4,20,0
20121,North,Standard,Quarterly,DSL,10,258.4,2596.77,No,2,No,Yes,2,68,1
20122,East,Basic,Monthly,DSL,24,218.68,5110.55,Yes,0,No,No,2,63,0
20123,North,Standard,Monthly,DSL,15,284.18,4588.5,Yes,1,No,No,5,85,0
20124,South,Standard,Monthly,DSL,39,266.43,11189.11,No,0,No,No,3,37,1
20125,East,Basic,Monthly,None,20,192.16,3510.07,Yes,3,No,Yes,4,27,0
20126,South,Standard,Monthly,Fiber,58,273.0,17307.65,Yes,0,No,No,3,87,0
20127,West,Basic,Quarterly,Fiber,7,267.02,2024.7,Yes,2,No,Yes,4,20,0
20128,West,Basic,Monthly,DSL,13,237.49,3002.5,No,0,Yes,No,4,43,0
20129,East,Standard,Monthly,DSL,55,263.5,15170.76,Yes,1,No,No,4,40,0
20130,North,Basic,Annual,Fiber,28,279.88,8110.5,Yes,1,No,Yes,4,52,0
20131,South,Basic,Monthly,Fiber,39,269.15,11275.78,No,2,No,Yes,2,62,1
20132,East,Standard,Monthly,Fiber,18,316.27,5934.02,Yes,4,No,No,2,5,0
20133,West,Basic,Monthly,None,47,208.54,9830.5,Yes,0,Yes,No,3,70,0
20134,East,Basic,Monthly,Fiber,11,281.31,2816.57,No,2,No,No,3,52,1
20135,North,Basic,Monthly,Fiber,36,302.6,11689.6,No,2,No,Yes,4,66,0
20136,North,Premium,Quarterly,Fiber,53,333.12,17600.7,Yes,4,No,No,3,51,0
20137,North,Basic,Quarterly,Fiber,36,306.46,11265.89,No,3,No,Yes,3,72,0
20138,South,Basic,Quarterly,Fiber,2,262.57,524.88,No,0,Yes,No,3,55,0
20139,West,Standard,Quarterly,Fiber,48,289.24,13089.62,Yes,0,No,Yes,4,54,0
20140,West,Premium,Quarterly,Fiber,46,331.19,14564.24,Yes,0,Yes,No,4,59,0
20141,North,Basic,Monthly,Fiber,17,280.58,4888.43,Yes,0,Yes,Yes,3,76,0
20142,East,Standard,Quarterly,Fiber,6,298.22,1641.8,Yes,1,Yes,Yes,5,2,0
20143,South,Basic,Monthly,Fiber,41,269.97,12123.01,No,0,Yes,No,3,39,0
20144,South,Standard,Quarterly,Fiber,46,325.37,14549.64,Yes,2,No,No,3,11,0
20145,South,Standard,Monthly,DSL,23,245.9,5293.57,No,0,Yes,No,4,50,0
20146,West,Premium,Monthly,Fiber,47,360.89,18239.06,No,2,No,Yes,3,53,0
20147,North,Basic,Monthly,DSL,16,210.07,3080.99,No,0,No,No,4,29,1
20148,South,Basic,Monthly,DSL,60,185.06,11385.57,Yes,0,Yes,No,4,45,0
20149,West,Standard,Annual,DSL,41,259.73,10532.84,Yes,2,No,Yes,5,12,0
20150,North,Basic,Quarterly,DSL,26,216.82,6180.92,Yes,0,No,No,4,21,0
20151,East,Basic,Quarterly,Fiber,46,282.69,13714.18,Yes,0,Yes,Yes,4,73,0
20152,North,Premium,Quarterly,Fiber,50,336.88,18449.51,No,0,Yes,Yes,2,45,1
20153,East,Premium,Monthly,DSL,1,263.25,281.09,No,3,Yes,No,3,7,0
20154,South,Basic,Monthly,Fiber,36,258.1,8831.21,No,4,No,Yes,5,21,1
20155,North,Basic,Monthly,DSL,30,240.89,6986.32,No,2,No,Yes,4,8,0
20156,South,Basic,Monthly,Fiber,2,265.86,513.47,No,1,Yes,Yes,5,1,1
20157,North,Standard,Monthly,Fiber,20,289.02,6148.77,No,0,Yes,No,3,57,0
20158,East,Basic,Quarterly,Fiber,5,255.25,1279.63,No,2,No,No,5,20,1
20159,South,Basic,Monthly,DSL,31,225.39,7260.07,No,3,No,No,3,88,1
20160,North,Standard,Quarterly,Fiber,8,324.42,2795.6,Yes,2,Yes,Yes,5,59,0
20161,North,Standard,Monthly,DSL,30,260.98,7238.32,Yes,1,Yes,Yes,2,88,0
20162,West,Premium,Quarterly,Fiber,39,334.13,13109.86,No,2,No,No,3,56,0
20163,South,Basic,Monthly,DSL,2,251.96,526.09,No,1,No,No,3,79,0
20164,South,Basic,Annual,Fiber,53,269.57,14620.42,Yes,0,No,No,4,42,0
20165,South,Basic,Quarterly,DSL,13,212.77,2926.52,No,2,Yes,No,3,51,0
20166,North,Standard,Annual,Fiber,4,303.66,1221.51,Yes,0,Yes,No,4,1,0
20167,North,Standard,Monthly,DSL,45,267.36,11502.39,Yes,1,No,No,4,74,0
20168,West,Standard,Monthly,Fiber,52,299.03,16017.57,Yes,0,No,No,3,23,0
20169,South,Standard,Monthly,DSL,8,222.48,1951.93,No,3,Yes,No,5,0,0
20170,North,Standard,Quarterly,DSL,39,228.68,8107.81,Yes,3,No,No,4,26,1
20171,South,Premium,Quarterly,Fiber,25,326.78,8734.97,No,2,No,No,3,56,0
20172,North,Basic,Monthly,None,7,205.94,1448.71,No,1,Yes,No,5,84,1
20173,South,Basic,Monthly,Fiber,14,324.29,4571.57,Yes,1,No,No,2,87,0
20174,South,Basic,Monthly,DSL,29,242.9,7676.79,No,0,No,Yes,4,4,1
20175,East,Basic,Monthly,Fiber,45,270.97,12785.53,Yes,1,No,No,3,59,0
20176,South,Standard,Monthly,DSL,21,265.97,5314.37,No,1,No,No,3,82,0
20177,North,Standard,Monthly,DSL,37,232.75,9092.92,No,0,No,No,4,77,0
20178,South,Basic,Quarterly,DSL,56,219.77,11549.58,No,1,Yes,Yes,3,53,0
20179,East,Basic,Monthly,None,49,187.94,9311.45,No,0,No,No,3,71,0
20180,North,Standard,Monthly,None,33,215.0,7765.68,Yes,0,Yes,Yes,5,80,1
20181,South,Standard,Annual,Fiber,58,281.69,17865.01,Yes,2,No,No,5,52,0
20182,North,Standard,Monthly,Fiber,41,293.69,12102.54,Yes,0,Yes,Yes,4,48,0
20183,West,Standard,Monthly,Fiber,25,302.28,7213.61,No,0,Yes,No,2,87,0
20184,South,Standard,Annual,None,53,178.29,9970.66,Yes,2,No,Yes,4,14,0
20185,South,Premium,Quarterly,DSL,59,272.87,15471.18,No,0,No,Yes,3,31,0
20186,South,Premium,Monthly,DSL,59,318.64,19236.44,Yes,1,Yes,No,3,77,0
20187,South,Standard,Annual,Fiber,46,304.01,13525.5,No,0,No,Yes,2,86,1
20188,West,Basic,Monthly,None,14,198.22,2642.09,No,1,No,No,5,12,1
20189,West,Basic,Monthly,Fiber,9,282.14,2685.91,Yes,1,No,Yes,3,75,0
20190,North,Premium,Monthly,Fiber,15,305.42,4544.24,No,0,Yes,Yes,2,49,0
20191,East,Premium,Monthly,Fiber,7,336.58,2274.81,Yes,1,Yes,No,3,84,1
20192,South,Premium,Monthly,Fiber,2,320.25,625.46,No,0,No,No,3,19,0
20193,North,Basic,Monthly,Fiber,31,278.49,8925.65,Yes,0,No,Yes,4,12,0
20194,West,Standard,Monthly,DSL,7,256.67,1748.12,No,2,No,No,4,23,0
20195,West,Standard,Monthly,DSL,41,290.86,11143.12,Yes,1,Yes,Yes,4,73,0
20196,West,Basic,Quarterly,DSL,56,241.69,13399.59,No,1,Yes,No,5,11,0
20197,West,Basic,Quarterly,Fiber,11,296.63,3049.78,Yes,0,Yes,No,3,17,1
20198,West,Premium,Annual,Fiber,13,346.67,4057.36,No,1,No,Yes,3,68,0
20199,East,Standard,Monthly,DSL,13,217.47,2776.82,No,2,No,No,5,76,1
20200,North,Standard,Monthly,None,26,229.23,5428.48,No,3,Yes,No,2,87,1
20201,East,Standard,Monthly,DSL,43,281.19,11402.85,Yes,0,Yes,No,4,26,0
20202,North,Premium,Quarterly,Fiber,60,342.99,22005.05,No,0,Yes,No,2,81,0
20203,South,Basic,Monthly,Fiber,50,264.68,12362.98,No,3,No,Yes,2,44,1
20204,West,Standard,Quarterly,Fiber,8,272.65,2099.7,Yes,0,Yes,No,3,61,0
20205,East,Basic,Quarterly,Fiber,14,251.54,3229.54,Yes,1,Yes,No,5,70,0
20206,South,Premium,Monthly,Fiber,45,333.97,14502.82,Yes,0,Yes,Yes,4,11,0
20207,North,Basic,Quarterly,DSL,60,240.91,14804.93,No,1,No,No,3,43,0
20208,East,Standard,Monthly,DSL,2,226.06,495.46,Yes,1,Yes,Yes,3,70,0
20209,East,Standard,Monthly,Fiber,56,282.33,14630.22,Yes,2,No,No,3,26,0
20210,South,Premium,Monthly,DSL,42,274.14,12228.97,No,2,Yes,No,3,46,0
20211,South,Premium,Annual,Fiber,15,337.87,4752.67,Yes,2,No,Yes,3,88,0
20212,North,Standard,Quarterly,DSL,57,255.43,13651.8,Yes,3,Yes,No,4,72,0
20213,West,Basic,Quarterly,DSL,24,211.42,5191.39,No,1,Yes,Yes,2,72,0
20214,North,Basic,Monthly,Fiber,34,271.43,9813.95,No,1,Yes,No,4,76,0
20215,North,Basic,Monthly,Fiber,4,271.5,1163.18,Yes,2,No,No,3,13,0
20216,North,Standard,Quarterly,Fiber,18,307.3,5051.66,No,3,No,No,2,13,0
20217,South,Standard,Monthly,DSL,25,234.54,6027.13,No,1,No,Yes,4,29,0
20218,North,Standard,Quarterly,DSL,47,251.11,12956.24,No,1,No,No,3,34,0
20219,North,Premium,Monthly,DSL,24,291.05,6559.66,Yes,1,No,No,3,11,0
20220,South,Basic,Quarterly,DSL,6,239.83,1334.24,Yes,2,Yes,No,2,41,0
20221,East,Basic,Monthly,Fiber,34,301.18,9234.74,No,0,No,Yes,4,34,0
20222,South,Basic,Quarterly,DSL,51,227.29,11048.12,Yes,3,Yes,Yes,4,4,0
20223,South,Basic,Quarterly,DSL,38,181.99,6847.13,No,1,No,No,4,2,0
20224,South,Basic,Annual,DSL,3,233.96,669.07,Yes,2,Yes,No,3,16,0
20225,West,Standard,Monthly,DSL,19,252.39,4399.08,Yes,2,Yes,No,3,76,0
20226,North,Basic,Monthly,None,47,197.84,10061.5,Yes,2,Yes,No,2,61,0
20227,West,Basic,Monthly,DSL,46,221.69,9480.54,No,2,Yes,No,5,49,0
20228,East,Basic,Monthly,DSL,58,256.49,13687.49,No,1,Yes,No,2,46,1
20229,North,Standard,Quarterly,DSL,36,250.26,8902.97,Yes,2,No,No,3,82,0
20230,North,Standard,Quarterly,Fiber,19,310.9,5596.66,No,1,Yes,Yes,3,74,0
20231,East,Basic,Quarterly,DSL,28,222.3,6501.49,No,1,No,No,4,50,0
20232,North,Basic,Monthly,Fiber,47,271.56,12504.37,Yes,0,No,No,2,82,0
20233,West,Standard,Monthly,Fiber,55,306.6,18467.36,Yes,2,Yes,No,5,82,0
20234,East,Basic,Monthly,DSL,56,220.13,12466.25,Yes,2,Yes,Yes,4,17,0
20235,East,Premium,Monthly,Fiber,10,355.83,3223.94,Yes,1,Yes,No,4,33,0
20236,East,Standard,Annual,DSL,18,256.96,4834.24,Yes,1,No,No,5,45,0
20237,West,Basic,Annual,Fiber,4,261.16,971.23,No,1,No,No,4,75,0
20238,North,Standard,Monthly,DSL,12,259.07,3138.34,No,2,No,Yes,4,50,0
20239,East,Standard,Monthly,Fiber,27,293.53,8248.88,Yes,0,Yes,Yes,4,9,0
20240,East,Premium,Monthly,Fiber,29,344.23,9806.43,Yes,2,No,No,3,63,0
20241,South,Premium,Monthly,Fiber,57,327.85,18944.77,No,2,Yes,No,5,8,0
20242,South,Standard,Quarterly,Fiber,12,331.47,3810.4,No,1,Yes,Yes,5,24,0
20243,North,Premium,Monthly,DSL,11,246.94,2470.13,No,3,No,Yes,3,10,0
20244,South,Standard,Quarterly,None,4,202.05,884.47,Yes,0,No,No,3,8,0
20245,North,Standard,Annual,DSL,46,270.08,12897.07,Yes,0,No,No,2,54,0
20246,West,Basic,Quarterly,Fiber,59,303.14,19310.03,No,0,Yes,No,3,16,0
20247,North,Basic,Monthly,DSL,59,229.74,12916.79,Yes,1,No,No,4,67,0
20248,South,Standard,Monthly,DSL,60,238.22,15001.85,Yes,0,Yes,Yes,2,23,1
20249,South,Standard,Monthly,None,24,232.64,5296.88,Yes,1,No,No,3,6,0
20250,West,Standard,Quarterly,Fiber,26,287.41,7441.57,No,1,Yes,No,3,9,0
20251,East,Basic,Monthly,None,28,197.84,5843.33,Yes,2,Yes,Yes,4,54,0
20252,East,Standard,Monthly,DSL,58,255.1,16176.15,Yes,1,No,No,2,66,0
20253,North,Basic,Monthly,Fiber,47,285.91,12539.3,No,0,Yes,No,3,87,0
20254,North,Standard,Monthly,DSL,60,269.87,16964.84,Yes,2,Yes,Yes,3,86,1
20255,North,Premium,Monthly,Fiber,4,333.22,1261.46,Yes,0,Yes,Yes,3,49,1
20256,West,Standard,Monthly,DSL,36,249.68,9351.71,No,3,Yes,Yes,5,85,0
20257,North,Basic,Monthly,Fiber,15,293.93,4653.33,No,4,No,Yes,2,56,0
20258,West,Standard,Annual,Fiber,22,299.65,7069.82,No,1,Yes,Yes,3,18,0
20259,West,Basic,Monthly,Fiber,60,262.59,16927.33,Yes,1,Yes,No,5,74,1
20260,South,Basic,Monthly,DSL,55,215.37,11465.91,Yes,0,Yes,No,5,36,0
20261,West,Basic,Quarterly,None,49,204.39,9315.98,Yes,1,No,No,2,72,0
20262,East,Premium,Quarterly,DSL,57,289.98,16191.82,Yes,0,No,Yes,4,66,0
20263,West,Basic,Monthly,DSL,24,253.01,5712.42,Yes,2,No,No,3,59,0
20264,West,Standard,Quarterly,Fiber,24,298.47,7209.24,Yes,1,Yes,No,2,29,0
20265,North,Basic,Annual,Fiber,37,297.73,11406.2,Yes,3,No,No,1,89,1
20266,South,Basic,Monthly,Fiber,5,275.86,1410.02,No,3,Yes,No,4,75,1
20267,West,Basic,Monthly,DSL,6,221.87,1262.87,No,3,No,No,4,56,1
20268,South,Standard,Quarterly,None,49,219.02,10205.5,Yes,1,No,No,2,72,0
20269,North,Premium,Monthly,Fiber,57,343.71,19294.46,Yes,2,Yes,No,3,3,0
20270,West,Standard,Monthly,DSL,10,287.71,3151.31,Yes,1,Yes,Yes,4,83,0
20271,West,Standard,Monthly,DSL,3,226.21,621.17,Yes,0,Yes,No,2,29,0
20272,North,Basic,Annual,DSL,38,226.98,8619.67,Yes,1,Yes,No,3,9,0
20273,North,Basic,Monthly,DSL,34,233.7,8558.78,Yes,2,No,No,5,14,0
20274,East,Basic,Monthly,DSL,6,240.89,1404.0,Yes,4,Yes,Yes,3,68,1
20275,West,Standard,Monthly,Fiber,10,310.22,2999.45,No,2,No,Yes,4,23,0
20276,North,Basic,Monthly,DSL,16,235.51,3401.44,No,0,No,No,2,11,0
20277,East,Basic,Annual,Fiber,60,279.56,18247.3,Yes,0,No,No,4,12,0
20278,South,Basic,Monthly,Fiber,29,258.7,8176.73,No,0,Yes,Yes,2,10,0
20279,West,Standard,Quarterly,Fiber,3,280.23,783.68,No,2,No,Yes,4,45,0
20280,East,Premium,Quarterly,DSL,11,301.69,3214.75,No,1,No,No,4,25,1
20281,South,Basic,Monthly,DSL,37,235.74,9332.98,Yes,2,No,No,3,8,0
20282,South,Standard,Quarterly,None,4,239.31,1050.9,No,1,No,Yes,4,23,1
20283,South,Basic,Monthly,Fiber,49,282.76,13586.56,No,2,Yes,No,3,44,0
20284,West,Standard,Monthly,Fiber,4,288.51,1145.76,Yes,0,No,No,2,36,0
20285,West,Basic,Annual,DSL,24,258.25,6385.95,Yes,1,Yes,No,3,9,0
20286,East,Premium,Monthly,Fiber,28,289.45,7771.04,No,0,No,Yes,2,66,0
20287,South,Basic,Monthly,DSL,56,248.03,13079.1,No,2,Yes,No,3,59,0
20288,West,Standard,Monthly,Fiber,35,318.21,12035.01,Yes,0,Yes,No,3,64,0
20289,East,Standard,Annual,Fiber,38,303.1,12437.87,No,0,No,Yes,3,50,0
20290,North,Basic,Quarterly,Fiber,50,266.67,13233.24,No,2,No,Yes,5,39,1
20291,East,Standard,Annual,None,24,268.98,6790.17,Yes,1,No,Yes,3,53,0
20292,North,Premium,Monthly,Fiber,22,331.8,7719.55,Yes,1,Yes,No,4,27,0
20293,East,Standard,Monthly,DSL,26,264.33,6359.29,Yes,0,No,Yes,5,29,1
20294,West,Basic,Annual,Fiber,18,275.78,5229.69,Yes,2,No,No,4,74,0
20295,North,Basic,Monthly,Fiber,59,245.58,15667.6,Yes,2,No,No,4,14,0
20296,South,Basic,Monthly,Fiber,3,281.25,843.68,No,1,Yes,Yes,3,39,0
20297,South,Standard,Monthly,DSL,46,268.34,13508.05,No,0,No,No,2,63,1
20298,East,Premium,Monthly,DSL,11,272.33,2772.9,No,1,Yes,No,3,49,1
20299,South,Premium,Monthly,Fiber,9,339.07,3062.33,Yes,3,No,No,4,49,0
